issue_type,issue_detail,columns_involved,METERID,CONSUMERNAME,UNITSCONSUMED,BILLAMOUNT,BILLINGDATE,EMAIL,REGION,ISSUEFLAG
outliers,"Outliers detected in numeric column UNITSCONSUMED using IQR method (IQR multiplier=1.5, lower=-125.0, upper=475.0)",UNITSCONSUMED,MTR38,Neha,999999,500,2025-05-01,alice282@yahoo.com,InvalidRegion,NO
outliers,"Outliers detected in numeric column UNITSCONSUMED using IQR method (IQR multiplier=1.5, lower=-125.0, upper=475.0)",UNITSCONSUMED,MTR41,Ravi,999999,9999999,2025-05-01,mike873@yahoo.com,InvalidRegion,NO
outliers,"Outliers detected in numeric column UNITSCONSUMED using IQR method (IQR multiplier=1.5, lower=-125.0, upper=475.0)",UNITSCONSUMED,MTR42,Ravi,999999,9999999,2025-05-01,mike705@company.com,InvalidRegion,NO
outliers,"Outliers detected in numeric column UNITSCONSUMED using IQR method (IQR multiplier=1.5, lower=-125.0, upper=475.0)",UNITSCONSUMED,MTR45,Neha,999999,9999999,2025-05-01,emma312@yahoo.com,North,NO
outliers,"Outliers detected in numeric column UNITSCONSUMED using IQR method (IQR multiplier=1.5, lower=-125.0, upper=475.0)",UNITSCONSUMED,MTR57,Neha,999999,-200,2025-05-01,alice717@gmail.com,,NO
outliers,"Outliers detected in numeric column UNITSCONSUMED using IQR method (IQR multiplier=1.5, lower=-125.0, upper=475.0)",UNITSCONSUMED,MTR60,Priya,999999,500,2025-05-01,alice761@company.com,North,NO
outliers,"Outliers detected in numeric column UNITSCONSUMED using IQR method (IQR multiplier=1.5, lower=-125.0, upper=475.0)",UNITSCONSUMED,MTR61,,999999,500,2025-05-01,alice958@company.com,,NO
outliers,"Outliers detected in numeric column UNITSCONSUMED using IQR method (IQR multiplier=1.5, lower=-125.0, upper=475.0)",UNITSCONSUMED,MTR63,Priya,999999,500,2025-05-01,john600@gmail.com,InvalidRegion,NO
outliers,"Outliers detected in numeric column UNITSCONSUMED using IQR method (IQR multiplier=1.5, lower=-125.0, upper=475.0)",UNITSCONSUMED,MTR64,Neha,999999,9999999,2025-05-01,alice44@yahoo.com,South,NO
outliers,"Outliers detected in numeric column UNITSCONSUMED using IQR method (IQR multiplier=1.5, lower=-125.0, upper=475.0)",UNITSCONSUMED,MTR66,,999999,9999999,2025-05-01,mike447@gmail.com,North,NO
outliers,"Outliers detected in numeric column UNITSCONSUMED using IQR method (IQR multiplier=1.5, lower=-125.0, upper=475.0)",UNITSCONSUMED,MTR75,Neha,999999,9999999,2025-05-01,emma896@gmail.com,North,NO
outliers,"Outliers detected in numeric column UNITSCONSUMED using IQR method (IQR multiplier=1.5, lower=-125.0, upper=475.0)",UNITSCONSUMED,MTR78,,999999,9999999,2025-05-01,alice159@yahoo.com,North,NO
outliers,"Outliers detected in numeric column UNITSCONSUMED using IQR method (IQR multiplier=1.5, lower=-125.0, upper=475.0)",UNITSCONSUMED,MTR83,Neha,999999,500,2025-05-01,emma286@gmail.com,InvalidRegion,NO
outliers,"Outliers detected in numeric column UNITSCONSUMED using IQR method (IQR multiplier=1.5, lower=-125.0, upper=475.0)",UNITSCONSUMED,MTR85,Ravi,999999,500,2025-05-01,david95@gmail.com,InvalidRegion,NO
outliers,"Outliers detected in numeric column UNITSCONSUMED using IQR method (IQR multiplier=1.5, lower=-125.0, upper=475.0)",UNITSCONSUMED,MTR86,Priya,999999,9999999,2025-05-01,david754@gmail.com,InvalidRegion,NO
outliers,"Outliers detected in numeric column UNITSCONSUMED using IQR method (IQR multiplier=1.5, lower=-125.0, upper=475.0)",UNITSCONSUMED,MTR94,,999999,-200,2025-05-01,sara697@gmail.com,South,NO
outliers,"Outliers detected in numeric column UNITSCONSUMED using IQR method (IQR multiplier=1.5, lower=-125.0, upper=475.0)",UNITSCONSUMED,MTR95,,999999,9999999,2025-05-01,sara970@company.com,InvalidRegion,NO
outliers,"Outliers detected in numeric column UNITSCONSUMED using IQR method (IQR multiplier=1.5, lower=-125.0, upper=475.0)",UNITSCONSUMED,MTR97,Priya,999999,1500,2025-05-01,sara254@yahoo.com,InvalidRegion,NO
outliers,"Outliers detected in numeric column UNITSCONSUMED using IQR method (IQR multiplier=1.5, lower=-125.0, upper=475.0)",UNITSCONSUMED,MTR107,Neha,999999,-200,2025-05-01,alice550@gmail.com,,NO
outliers,"Outliers detected in numeric column UNITSCONSUMED using IQR method (IQR multiplier=1.5, lower=-125.0, upper=475.0)",UNITSCONSUMED,MTR114,Ravi,999999,500,2025-05-01,mike960@yahoo.com,North,NO
outliers,"Outliers detected in numeric column UNITSCONSUMED using IQR method (IQR multiplier=1.5, lower=-125.0, upper=475.0)",UNITSCONSUMED,MTR119,Ravi,999999,1500,2025-05-01,sara567@company.com,South,NO
outliers,"Outliers detected in numeric column UNITSCONSUMED using IQR method (IQR multiplier=1.5, lower=-125.0, upper=475.0)",UNITSCONSUMED,MTR127,,999999,9999999,2025-05-01,sara123@company.com,South,NO
outliers,"Outliers detected in numeric column UNITSCONSUMED using IQR method (IQR multiplier=1.5, lower=-125.0, upper=475.0)",UNITSCONSUMED,MTR128,Priya,999999,9999999,2025-05-01,alice651@company.com,North,NO
outliers,"Outliers detected in numeric column UNITSCONSUMED using IQR method (IQR multiplier=1.5, lower=-125.0, upper=475.0)",UNITSCONSUMED,MTR131,Ravi,999999,-200,2025-05-01,alice190@company.com,,NO
outliers,"Outliers detected in numeric column UNITSCONSUMED using IQR method (IQR multiplier=1.5, lower=-125.0, upper=475.0)",UNITSCONSUMED,MTR132,Neha,999999,1500,2025-05-01,mike860@gmail.com,,NO
outliers,"Outliers detected in numeric column UNITSCONSUMED using IQR method (IQR multiplier=1.5, lower=-125.0, upper=475.0)",UNITSCONSUMED,MTR133,Neha,999999,1500,2025-05-01,mike53@company.com,,NO
outliers,"Outliers detected in numeric column UNITSCONSUMED using IQR method (IQR multiplier=1.5, lower=-125.0, upper=475.0)",UNITSCONSUMED,MTR141,Priya,999999,9999999,2025-05-01,john947@yahoo.com,,NO
outliers,"Outliers detected in numeric column UNITSCONSUMED using IQR method (IQR multiplier=1.5, lower=-125.0, upper=475.0)",UNITSCONSUMED,MTR146,,999999,9999999,2025-05-01,david636@gmail.com,InvalidRegion,NO
outliers,"Outliers detected in numeric column UNITSCONSUMED using IQR method (IQR multiplier=1.5, lower=-125.0, upper=475.0)",UNITSCONSUMED,MTR159,Ravi,999999,-200,2025-05-01,mike584@gmail.com,North,NO
outliers,"Outliers detected in numeric column UNITSCONSUMED using IQR method (IQR multiplier=1.5, lower=-125.0, upper=475.0)",UNITSCONSUMED,MTR169,,999999,500,2025-05-01,sara710@gmail.com,North,NO
outliers,"Outliers detected in numeric column UNITSCONSUMED using IQR method (IQR multiplier=1.5, lower=-125.0, upper=475.0)",UNITSCONSUMED,MTR171,Priya,999999,1500,2025-05-01,sara55@company.com,InvalidRegion,NO
outliers,"Outliers detected in numeric column UNITSCONSUMED using IQR method (IQR multiplier=1.5, lower=-125.0, upper=475.0)",UNITSCONSUMED,MTR173,Ravi,999999,9999999,2025-05-01,david29@company.com,,NO
outliers,"Outliers detected in numeric column UNITSCONSUMED using IQR method (IQR multiplier=1.5, lower=-125.0, upper=475.0)",UNITSCONSUMED,MTR174,Priya,999999,-200,2025-05-01,mike654@yahoo.com,,NO
outliers,"Outliers detected in numeric column UNITSCONSUMED using IQR method (IQR multiplier=1.5, lower=-125.0, upper=475.0)",UNITSCONSUMED,MTR177,,999999,9999999,2025-05-01,mike960@yahoo.com,,NO
outliers,"Outliers detected in numeric column UNITSCONSUMED using IQR method (IQR multiplier=1.5, lower=-125.0, upper=475.0)",UNITSCONSUMED,MTR183,,999999,500,2025-05-01,emma235@company.com,InvalidRegion,NO
outliers,"Outliers detected in numeric column UNITSCONSUMED using IQR method (IQR multiplier=1.5, lower=-125.0, upper=475.0)",UNITSCONSUMED,MTR184,,999999,500,2025-05-01,david49@gmail.com,South,NO
outliers,"Outliers detected in numeric column UNITSCONSUMED using IQR method (IQR multiplier=1.5, lower=-125.0, upper=475.0)",UNITSCONSUMED,MTR186,,999999,500,2025-05-01,sara248@gmail.com,North,NO
outliers,"Outliers detected in numeric column UNITSCONSUMED using IQR method (IQR multiplier=1.5, lower=-125.0, upper=475.0)",UNITSCONSUMED,MTR187,Priya,999999,9999999,2025-05-01,alice669@gmail.com,North,NO
outliers,"Outliers detected in numeric column UNITSCONSUMED using IQR method (IQR multiplier=1.5, lower=-125.0, upper=475.0)",UNITSCONSUMED,MTR191,Priya,999999,1500,2025-05-01,emma279@gmail.com,,NO
outliers,"Outliers detected in numeric column UNITSCONSUMED using IQR method (IQR multiplier=1.5, lower=-125.0, upper=475.0)",UNITSCONSUMED,MTR198,Ravi,999999,1500,2025-05-01,emma976@company.com,North,NO
outliers,"Outliers detected in numeric column UNITSCONSUMED using IQR method (IQR multiplier=1.5, lower=-125.0, upper=475.0)",UNITSCONSUMED,MTR201,Neha,999999,9999999,2025-05-01,john738@yahoo.com,South,NO
outliers,"Outliers detected in numeric column UNITSCONSUMED using IQR method (IQR multiplier=1.5, lower=-125.0, upper=475.0)",UNITSCONSUMED,MTR204,Neha,999999,-200,2025-05-01,sara177@gmail.com,South,NO
outliers,"Outliers detected in numeric column UNITSCONSUMED using IQR method (IQR multiplier=1.5, lower=-125.0, upper=475.0)",UNITSCONSUMED,MTR205,Priya,999999,9999999,2025-05-01,alice185@yahoo.com,South,NO
outliers,"Outliers detected in numeric column UNITSCONSUMED using IQR method (IQR multiplier=1.5, lower=-125.0, upper=475.0)",UNITSCONSUMED,MTR207,Priya,999999,-200,2025-05-01,mike978@company.com,,NO
outliers,"Outliers detected in numeric column UNITSCONSUMED using IQR method (IQR multiplier=1.5, lower=-125.0, upper=475.0)",UNITSCONSUMED,MTR208,Priya,999999,500,2025-05-01,sara712@gmail.com,InvalidRegion,NO
outliers,"Outliers detected in numeric column UNITSCONSUMED using IQR method (IQR multiplier=1.5, lower=-125.0, upper=475.0)",UNITSCONSUMED,MTR212,Priya,999999,1500,2025-05-01,sara510@yahoo.com,North,NO
outliers,"Outliers detected in numeric column UNITSCONSUMED using IQR method (IQR multiplier=1.5, lower=-125.0, upper=475.0)",UNITSCONSUMED,MTR213,Neha,999999,1500,2025-05-01,alice981@company.com,South,NO
outliers,"Outliers detected in numeric column UNITSCONSUMED using IQR method (IQR multiplier=1.5, lower=-125.0, upper=475.0)",UNITSCONSUMED,MTR215,Neha,999999,1500,2025-05-01,john483@company.com,,NO
outliers,"Outliers detected in numeric column UNITSCONSUMED using IQR method (IQR multiplier=1.5, lower=-125.0, upper=475.0)",UNITSCONSUMED,MTR218,Priya,999999,500,2025-05-01,john156@gmail.com,InvalidRegion,NO
outliers,"Outliers detected in numeric column UNITSCONSUMED using IQR method (IQR multiplier=1.5, lower=-125.0, upper=475.0)",UNITSCONSUMED,MTR220,,999999,500,2025-05-01,@gmail.com,InvalidRegion,NO
outliers,"Outliers detected in numeric column UNITSCONSUMED using IQR method (IQR multiplier=1.5, lower=-125.0, upper=475.0)",UNITSCONSUMED,MTR223,Priya,999999,500,2025-05-01,david13@company.com,North,NO
outliers,"Outliers detected in numeric column UNITSCONSUMED using IQR method (IQR multiplier=1.5, lower=-125.0, upper=475.0)",UNITSCONSUMED,MTR227,Neha,999999,-200,2025-05-01,mike150@gmail.com,North,NO
outliers,"Outliers detected in numeric column UNITSCONSUMED using IQR method (IQR multiplier=1.5, lower=-125.0, upper=475.0)",UNITSCONSUMED,MTR228,,999999,1500,2025-05-01,mike513@gmail.com,North,NO
outliers,"Outliers detected in numeric column UNITSCONSUMED using IQR method (IQR multiplier=1.5, lower=-125.0, upper=475.0)",UNITSCONSUMED,MTR233,Neha,999999,1500,2025-05-01,sara964@gmail.com,InvalidRegion,NO
outliers,"Outliers detected in numeric column UNITSCONSUMED using IQR method (IQR multiplier=1.5, lower=-125.0, upper=475.0)",UNITSCONSUMED,MTR236,Priya,999999,-200,2025-05-01,mike741@company.com,,NO
outliers,"Outliers detected in numeric column UNITSCONSUMED using IQR method (IQR multiplier=1.5, lower=-125.0, upper=475.0)",UNITSCONSUMED,MTR248,Priya,999999,1500,2025-05-01,david944@yahoo.com,,NO
outliers,"Outliers detected in numeric column UNITSCONSUMED using IQR method (IQR multiplier=1.5, lower=-125.0, upper=475.0)",UNITSCONSUMED,MTR255,,999999,1500,2025-05-01,alice99@gmail.com,,NO
outliers,"Outliers detected in numeric column UNITSCONSUMED using IQR method (IQR multiplier=1.5, lower=-125.0, upper=475.0)",UNITSCONSUMED,MTR261,,999999,-200,2025-05-01,john978@company.com,InvalidRegion,NO
outliers,"Outliers detected in numeric column UNITSCONSUMED using IQR method (IQR multiplier=1.5, lower=-125.0, upper=475.0)",UNITSCONSUMED,MTR262,Neha,999999,9999999,2025-05-01,mike981@company.com,South,NO
outliers,"Outliers detected in numeric column UNITSCONSUMED using IQR method (IQR multiplier=1.5, lower=-125.0, upper=475.0)",UNITSCONSUMED,MTR265,Ravi,999999,500,2025-05-01,david660@yahoo.com,South,NO
outliers,"Outliers detected in numeric column UNITSCONSUMED using IQR method (IQR multiplier=1.5, lower=-125.0, upper=475.0)",UNITSCONSUMED,MTR269,,999999,9999999,2025-05-01,emma18@gmail.com,South,NO
outliers,"Outliers detected in numeric column UNITSCONSUMED using IQR method (IQR multiplier=1.5, lower=-125.0, upper=475.0)",UNITSCONSUMED,MTR272,Neha,999999,500,2025-05-01,emma723@gmail.com,North,NO
outliers,"Outliers detected in numeric column UNITSCONSUMED using IQR method (IQR multiplier=1.5, lower=-125.0, upper=475.0)",UNITSCONSUMED,MTR282,Ravi,999999,500,2025-05-01,mike731@yahoo.com,North,NO
outliers,"Outliers detected in numeric column UNITSCONSUMED using IQR method (IQR multiplier=1.5, lower=-125.0, upper=475.0)",UNITSCONSUMED,MTR285,Ravi,999999,-200,2025-05-01,john130@gmail.com,South,NO
outliers,"Outliers detected in numeric column UNITSCONSUMED using IQR method (IQR multiplier=1.5, lower=-125.0, upper=475.0)",UNITSCONSUMED,MTR290,,999999,500,2025-05-01,sara987@gmail.com,InvalidRegion,NO
outliers,"Outliers detected in numeric column UNITSCONSUMED using IQR method (IQR multiplier=1.5, lower=-125.0, upper=475.0)",UNITSCONSUMED,MTR291,,999999,1500,2025-05-01,mike553@company.com,South,NO
outliers,"Outliers detected in numeric column UNITSCONSUMED using IQR method (IQR multiplier=1.5, lower=-125.0, upper=475.0)",UNITSCONSUMED,MTR296,Ravi,999999,-200,2025-05-01,sara676@yahoo.com,,NO
outliers,"Outliers detected in numeric column UNITSCONSUMED using IQR method (IQR multiplier=1.5, lower=-125.0, upper=475.0)",UNITSCONSUMED,MTR298,,999999,1500,2025-05-01,alice538@company.com,,NO
outliers,"Outliers detected in numeric column UNITSCONSUMED using IQR method (IQR multiplier=1.5, lower=-125.0, upper=475.0)",UNITSCONSUMED,MTR299,Neha,999999,-200,2025-05-01,alice967@yahoo.com,,NO
outliers,"Outliers detected in numeric column UNITSCONSUMED using IQR method (IQR multiplier=1.5, lower=-125.0, upper=475.0)",UNITSCONSUMED,MTR302,Priya,999999,9999999,2025-05-01,alice883@company.com,South,NO
outliers,"Outliers detected in numeric column UNITSCONSUMED using IQR method (IQR multiplier=1.5, lower=-125.0, upper=475.0)",UNITSCONSUMED,MTR310,Ravi,999999,500,2025-05-01,john656@yahoo.com,,NO
outliers,"Outliers detected in numeric column UNITSCONSUMED using IQR method (IQR multiplier=1.5, lower=-125.0, upper=475.0)",UNITSCONSUMED,MTR312,Ravi,999999,-200,2025-05-01,david440@yahoo.com,InvalidRegion,NO
outliers,"Outliers detected in numeric column UNITSCONSUMED using IQR method (IQR multiplier=1.5, lower=-125.0, upper=475.0)",UNITSCONSUMED,MTR313,Ravi,999999,-200,2025-05-01,john265@gmail.com,South,NO
outliers,"Outliers detected in numeric column UNITSCONSUMED using IQR method (IQR multiplier=1.5, lower=-125.0, upper=475.0)",UNITSCONSUMED,MTR324,Neha,999999,1500,2025-05-01,emma456@yahoo.com,,NO
outliers,"Outliers detected in numeric column UNITSCONSUMED using IQR method (IQR multiplier=1.5, lower=-125.0, upper=475.0)",UNITSCONSUMED,MTR328,Priya,999999,1500,2025-05-01,john767@company.com,,NO
outliers,"Outliers detected in numeric column UNITSCONSUMED using IQR method (IQR multiplier=1.5, lower=-125.0, upper=475.0)",UNITSCONSUMED,MTR330,Priya,999999,-200,2025-05-01,invalidmail,North,NO
outliers,"Outliers detected in numeric column UNITSCONSUMED using IQR method (IQR multiplier=1.5, lower=-125.0, upper=475.0)",UNITSCONSUMED,MTR338,Ravi,999999,1500,2025-05-01,john781@yahoo.com,South,NO
outliers,"Outliers detected in numeric column UNITSCONSUMED using IQR method (IQR multiplier=1.5, lower=-125.0, upper=475.0)",UNITSCONSUMED,MTR340,Ravi,999999,-200,2025-05-01,john498@company.com,North,NO
outliers,"Outliers detected in numeric column UNITSCONSUMED using IQR method (IQR multiplier=1.5, lower=-125.0, upper=475.0)",UNITSCONSUMED,MTR345,Ravi,999999,500,2025-05-01,alice232@gmail.com,South,NO
outliers,"Outliers detected in numeric column UNITSCONSUMED using IQR method (IQR multiplier=1.5, lower=-125.0, upper=475.0)",UNITSCONSUMED,MTR348,,999999,1500,2025-05-01,david694@yahoo.com,South,NO
outliers,"Outliers detected in numeric column UNITSCONSUMED using IQR method (IQR multiplier=1.5, lower=-125.0, upper=475.0)",UNITSCONSUMED,MTR351,Priya,999999,1500,2025-05-01,mike858@yahoo.com,North,NO
outliers,"Outliers detected in numeric column UNITSCONSUMED using IQR method (IQR multiplier=1.5, lower=-125.0, upper=475.0)",UNITSCONSUMED,MTR354,Neha,999999,500,2025-05-01,sara406@yahoo.com,South,NO
outliers,"Outliers detected in numeric column UNITSCONSUMED using IQR method (IQR multiplier=1.5, lower=-125.0, upper=475.0)",UNITSCONSUMED,MTR359,Neha,999999,9999999,2025-05-01,mike819@gmail.com,,NO
outliers,"Outliers detected in numeric column UNITSCONSUMED using IQR method (IQR multiplier=1.5, lower=-125.0, upper=475.0)",UNITSCONSUMED,MTR361,Ravi,999999,-200,2025-05-01,mike159@gmail.com,South,NO
outliers,"Outliers detected in numeric column UNITSCONSUMED using IQR method (IQR multiplier=1.5, lower=-125.0, upper=475.0)",UNITSCONSUMED,MTR365,,999999,500,2025-05-01,mike182@yahoo.com,North,NO
outliers,"Outliers detected in numeric column UNITSCONSUMED using IQR method (IQR multiplier=1.5, lower=-125.0, upper=475.0)",UNITSCONSUMED,MTR367,Ravi,999999,-200,2025-05-01,sara251@yahoo.com,South,NO
outliers,"Outliers detected in numeric column UNITSCONSUMED using IQR method (IQR multiplier=1.5, lower=-125.0, upper=475.0)",UNITSCONSUMED,MTR370,,999999,-200,2025-05-01,alice647@yahoo.com,North,NO
outliers,"Outliers detected in numeric column UNITSCONSUMED using IQR method (IQR multiplier=1.5, lower=-125.0, upper=475.0)",UNITSCONSUMED,MTR372,,999999,500,2025-05-01,emma930@yahoo.com,South,NO
outliers,"Outliers detected in numeric column UNITSCONSUMED using IQR method (IQR multiplier=1.5, lower=-125.0, upper=475.0)",UNITSCONSUMED,MTR374,Ravi,999999,9999999,2025-05-01,sara27@company.com,South,NO
outliers,"Outliers detected in numeric column UNITSCONSUMED using IQR method (IQR multiplier=1.5, lower=-125.0, upper=475.0)",UNITSCONSUMED,MTR378,Priya,999999,-200,2025-05-01,sara366@yahoo.com,South,NO
outliers,"Outliers detected in numeric column UNITSCONSUMED using IQR method (IQR multiplier=1.5, lower=-125.0, upper=475.0)",UNITSCONSUMED,MTR391,Priya,999999,9999999,2025-05-01,sara326@company.com,North,NO
outliers,"Outliers detected in numeric column UNITSCONSUMED using IQR method (IQR multiplier=1.5, lower=-125.0, upper=475.0)",UNITSCONSUMED,MTR393,,999999,1500,2025-05-01,alice578@company.com,South,NO
outliers,"Outliers detected in numeric column UNITSCONSUMED using IQR method (IQR multiplier=1.5, lower=-125.0, upper=475.0)",UNITSCONSUMED,MTR397,Ravi,999999,500,2025-05-01,mike179@gmail.com,InvalidRegion,NO
outliers,"Outliers detected in numeric column UNITSCONSUMED using IQR method (IQR multiplier=1.5, lower=-125.0, upper=475.0)",UNITSCONSUMED,MTR412,,999999,500,2025-05-01,david70@gmail.com,South,NO
outliers,"Outliers detected in numeric column UNITSCONSUMED using IQR method (IQR multiplier=1.5, lower=-125.0, upper=475.0)",UNITSCONSUMED,MTR415,,999999,9999999,2025-05-01,emma337@gmail.com,,NO
outliers,"Outliers detected in numeric column UNITSCONSUMED using IQR method (IQR multiplier=1.5, lower=-125.0, upper=475.0)",UNITSCONSUMED,MTR417,Priya,999999,9999999,2025-05-01,david922@company.com,InvalidRegion,NO
outliers,"Outliers detected in numeric column UNITSCONSUMED using IQR method (IQR multiplier=1.5, lower=-125.0, upper=475.0)",UNITSCONSUMED,MTR420,Priya,999999,500,2025-05-01,sara319@yahoo.com,InvalidRegion,YES
outliers,"Outliers detected in numeric column UNITSCONSUMED using IQR method (IQR multiplier=1.5, lower=-125.0, upper=475.0)",UNITSCONSUMED,MTR433,Priya,999999,9999999,2025-05-01,sara361@gmail.com,South,NO
outliers,"Outliers detected in numeric column UNITSCONSUMED using IQR method (IQR multiplier=1.5, lower=-125.0, upper=475.0)",UNITSCONSUMED,MTR438,Neha,999999,9999999,2025-05-01,david49@yahoo.com,South,NO
outliers,"Outliers detected in numeric column UNITSCONSUMED using IQR method (IQR multiplier=1.5, lower=-125.0, upper=475.0)",UNITSCONSUMED,MTR440,,999999,9999999,2025-05-01,missingdomain@,South,NO
outliers,"Outliers detected in numeric column UNITSCONSUMED using IQR method (IQR multiplier=1.5, lower=-125.0, upper=475.0)",UNITSCONSUMED,MTR442,Priya,999999,500,2025-05-01,emma200@yahoo.com,,NO
outliers,"Outliers detected in numeric column UNITSCONSUMED using IQR method (IQR multiplier=1.5, lower=-125.0, upper=475.0)",UNITSCONSUMED,MTR443,Ravi,999999,1500,2025-05-01,sara502@company.com,South,NO
outliers,"Outliers detected in numeric column UNITSCONSUMED using IQR method (IQR multiplier=1.5, lower=-125.0, upper=475.0)",UNITSCONSUMED,MTR447,Neha,999999,500,2025-05-01,alice171@yahoo.com,South,NO
outliers,"Outliers detected in numeric column UNITSCONSUMED using IQR method (IQR multiplier=1.5, lower=-125.0, upper=475.0)",UNITSCONSUMED,MTR449,,999999,1500,2025-05-01,mike663@company.com,InvalidRegion,NO
outliers,"Outliers detected in numeric column UNITSCONSUMED using IQR method (IQR multiplier=1.5, lower=-125.0, upper=475.0)",UNITSCONSUMED,MTR452,,999999,1500,2025-05-01,sara586@company.com,,NO
outliers,"Outliers detected in numeric column UNITSCONSUMED using IQR method (IQR multiplier=1.5, lower=-125.0, upper=475.0)",UNITSCONSUMED,MTR456,,999999,9999999,2025-05-01,mike976@gmail.com,North,NO
outliers,"Outliers detected in numeric column UNITSCONSUMED using IQR method (IQR multiplier=1.5, lower=-125.0, upper=475.0)",UNITSCONSUMED,MTR463,Neha,999999,9999999,2025-05-01,sara584@yahoo.com,InvalidRegion,NO
outliers,"Outliers detected in numeric column UNITSCONSUMED using IQR method (IQR multiplier=1.5, lower=-125.0, upper=475.0)",UNITSCONSUMED,MTR468,Priya,999999,500,2025-05-01,emma291@yahoo.com,North,NO
outliers,"Outliers detected in numeric column UNITSCONSUMED using IQR method (IQR multiplier=1.5, lower=-125.0, upper=475.0)",UNITSCONSUMED,MTR470,Priya,999999,-200,2025-05-01,david727@yahoo.com,North,NO
outliers,"Outliers detected in numeric column UNITSCONSUMED using IQR method (IQR multiplier=1.5, lower=-125.0, upper=475.0)",UNITSCONSUMED,MTR474,,999999,9999999,2025-05-01,sara799@company.com,InvalidRegion,NO
outliers,"Outliers detected in numeric column UNITSCONSUMED using IQR method (IQR multiplier=1.5, lower=-125.0, upper=475.0)",UNITSCONSUMED,MTR475,,999999,500,2025-05-01,emma715@company.com,North,NO
outliers,"Outliers detected in numeric column UNITSCONSUMED using IQR method (IQR multiplier=1.5, lower=-125.0, upper=475.0)",UNITSCONSUMED,MTR479,,999999,500,2025-05-01,alice521@yahoo.com,,NO
outliers,"Outliers detected in numeric column UNITSCONSUMED using IQR method (IQR multiplier=1.5, lower=-125.0, upper=475.0)",UNITSCONSUMED,MTR480,,999999,-200,2025-05-01,emma328@company.com,,NO
outliers,"Outliers detected in numeric column UNITSCONSUMED using IQR method (IQR multiplier=1.5, lower=-125.0, upper=475.0)",UNITSCONSUMED,MTR483,Ravi,999999,9999999,2025-05-01,john841@gmail.com,,NO
outliers,"Outliers detected in numeric column UNITSCONSUMED using IQR method (IQR multiplier=1.5, lower=-125.0, upper=475.0)",UNITSCONSUMED,MTR488,Priya,999999,-200,2025-05-01,emma70@company.com,North,NO
outliers,"Outliers detected in numeric column UNITSCONSUMED using IQR method (IQR multiplier=1.5, lower=-125.0, upper=475.0)",UNITSCONSUMED,MTR509,,999999,500,2025-05-01,john842@gmail.com,South,NO
outliers,"Outliers detected in numeric column UNITSCONSUMED using IQR method (IQR multiplier=1.5, lower=-125.0, upper=475.0)",UNITSCONSUMED,MTR514,Priya,999999,1500,2025-05-01,david288@yahoo.com,InvalidRegion,NO
outliers,"Outliers detected in numeric column UNITSCONSUMED using IQR method (IQR multiplier=1.5, lower=-125.0, upper=475.0)",UNITSCONSUMED,MTR519,,999999,1500,2025-05-01,emma575@gmail.com,North,NO
